segmento,inicio,fin,muestras,nivel_min_m,nivel_max_m,nivel_medio_m,lluvia_total_mm,faltantes_nivel
2021-2022,2021-06-12 12:00:00,2022-04-01 16:30:00,42220,0.03,3.746,0.096,741.6,0
2025-2026,2025-08-27 15:10:00,2026-03-17 09:30:00,29055,0.4,3.3,0.496,325.1,0
