modelo_label,n,MAE_m,RMSE_m,MAE_cm,RMSE_cm,MAPE_pct,sMAPE_pct,NSE,Bias_cm
LSTM,32064,0.011566504508340222,0.06124490139786218,1.1566504508340223,6.124490139786218,3.555974219730821,3.445326173018818,0.9586196927722948,-0.08965438196579098
Ridge-ARX,32064,0.012910547928492654,0.06946460329954592,1.2910547928492655,6.946460329954592,3.263165553234102,3.2118583176129296,0.946766998899797,0.05265805908598948
SARIMAX,32064,0.013406185298016095,0.07783632070844618,1.3406185298016096,7.783632070844618,3.2272990269625037,3.3685015410343646,0.9331627721347877,-0.5370361158634722
N-BEATS,32064,0.027840014797473372,0.07961956214781316,2.7840014797473374,7.961956214781315,13.915910090986184,15.076322776740541,0.9300651897181179,-0.21792994600197407
ARIMA,32064,0.013997201779679396,0.08273866081585744,1.3997201779679396,8.273866081585744,3.3081736911737796,3.47014534128793,0.9244784654972679,-0.7279235452366298
Gradient Boosting-ARX,32064,0.015587297064836107,0.08291749358635808,1.5587297064836108,8.291749358635808,3.5355113878293203,3.5759841093115403,0.9241516455833807,-0.8438294409364709
Persistencia,32064,0.01328847497208524,0.09244556316739352,1.328847497208524,9.244556316739352,2.5613504915363903,2.6597851593594686,0.9057186101347605,-0.0017875761068159757
