modelo,segmento,lead_minutes,n,MAE,RMSE,R2,MAPE (%),sMAPE (%),Bias,NSE,modelo_label,familia,source,model_order
Ridge_ARX_local,2025,20,4357,0.016259698184339,0.078028188037943,0.8686015171975014,1.7726103184113802,1.7871358220890785,-0.0037853117652111,0.8686015171975014,Ridge-ARX,ML lineal ARX,15_finales,1
GradientBoosting_ARX,2025,20,4357,0.0200691076620526,0.082048401464952,0.8547127326941923,2.384498293084321,2.4766554265097573,-0.0178695323323437,0.8547127326941923,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,2025,20,4357,0.0159039747964643,0.0859500373899541,0.8405665489659768,1.7270451569420835,1.8241603005964275,-0.0098042477120337,0.8405665489659768,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,2025,20,4357,0.0144197485088666,0.0792965455915443,0.8642950017276325,1.4698638066741214,1.5361724441101066,-0.0056086984988213,0.8642950017276325,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,2025,20,4357,0.0309744340128544,0.0850359716810689,0.8439396185408559,4.660065832930296,4.45785439902014,0.0204313868794496,0.8439396185408559,N-BEATS,Deep learning,15_finales,5
LSTM,2025,20,4357,0.0108077951343715,0.0678409012360765,0.9006722668249915,1.096988526794413,1.076100927958121,-0.001930596159037,0.9006722668249915,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
Persistencia,2025,30,4357,0.0200797045506708,0.1227888988340636,0.6746048646649381,1.5573727866200224,1.6312292835822588,-4.1312829928850416e-05,0.6746048646649381,Persistencia,Baseline ingenuo,15_finales,0
Ridge_ARX_local,2025,30,4357,0.0227835550023204,0.1008909446192451,0.7803166092510123,2.466380554740065,2.490762846441756,-0.0059218645089684,0.7803166092510123,Ridge-ARX,ML lineal ARX,15_finales,1
GradientBoosting_ARX,2025,30,4357,0.0242236065642448,0.1008850198876191,0.780342409919668,2.7524173326517696,2.9115349215796886,-0.0223288203358243,0.780342409919668,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,2025,30,4357,0.0238884101738502,0.1151349677539065,0.7139069326949581,2.6305795119471997,2.7969324373781457,-0.0160516145938975,0.7139069326949581,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,2025,30,4357,0.0205103980254019,0.1072231719170559,0.7518752150328281,2.036311194363099,2.14352659141523,-0.0082988899706082,0.7518752150328281,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,2025,30,4357,0.0215912331828841,0.1154115040338611,0.7125309801899207,2.30625537265812,2.3013548707599814,-0.0034052212180307,0.7125309801899207,N-BEATS,Deep learning,15_finales,5
LSTM,2025,30,4357,0.0153942462884281,0.0881756012185197,0.8322008696261284,1.5122440254351377,1.5434543822569855,-0.0075735747696186,0.8322008696261284,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
Persistencia,global,10,10688,0.0072506767948983,0.051437725797544,0.970810760140639,1.6320225685054552,1.6877206434847278,-8.959169607369704e-06,0.970810760140639,Persistencia,Baseline ingenuo,15_finales,0
Ridge_ARX_local,global,10,10688,0.0067176441940157,0.0383812313783124,0.9837483644184032,1.918106070834335,1.917222857630881,0.0003087447953119,0.9837483644184032,Ridge-ARX,ML lineal ARX,15_finales,1
