event_id,segmento,selection_rank,lead_minutes,modelo,modelo_label,model_family,model_order,window_start,window_end,t_peak_obs,t_peak_pred,PTE_min,abs_PTE_min,peak_obs,peak_pred,peak_error,abs_peak_error,rel_peak_error_pct,abs_rel_peak_error_pct,pred_at_obs_peak,obs_peak_prediction_time_offset_min,error_at_obs_peak,abs_error_at_obs_peak,RMSE_evento,MAE_evento,Bias_evento,NSE_evento,n_puntos_evento
2021_E01,2021,1,10,Persistencia,Persistencia,Baseline ingenuo,0,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 10:10:00,10.0,10.0,3.746,3.746,0.0,0.0,0.0,0.0,3.631,0.0,-0.11500000000000021,0.11500000000000021,0.44213296642525995,0.31404,-0.01076000000000001,0.7984133233112845,25
2021_E01,2021,1,10,Ridge_ARX_local,Ridge-ARX,ML lineal ARX,1,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 10:00:00,0.0,0.0,3.746,4.262777947757515,0.516777947757515,0.516777947757515,13.795460431327147,13.795460431327147,4.262777947757515,0.0,0.516777947757515,0.516777947757515,0.32486735838566033,0.23227788265071495,0.04730772418315785,0.8911650998514932,25
2021_E01,2021,1,10,GradientBoosting_ARX,Gradient Boosting-ARX,ML no lineal ARX,2,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 09:50:00,-10.0,10.0,3.746,2.151872918219836,-1.5941270817801638,1.5941270817801638,-42.55544799199583,42.55544799199583,2.151872918219836,0.0,-1.5941270817801638,1.5941270817801638,0.7395292953376861,0.47761769939958604,-0.3638783634997278,0.4360159858977487,25
2021_E01,2021,1,10,ARIMA_selected,ARIMA,Estadistico,3,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 10:10:00,10.0,10.0,3.746,3.665645499949125,-0.08035450005087519,0.08035450005087519,-2.1450747477542764,2.1450747477542764,3.632808776318025,0.0,-0.1131912236819752,0.1131912236819752,0.3556847453933439,0.19852598645941677,-0.06151266940272611,0.8695372561578758,25
2021_E01,2021,1,10,SARIMAX_lagged_exog_selected,SARIMAX,Estadistico con exogenas,4,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 10:00:00,0.0,0.0,3.746,3.929888537498112,0.18388853749811185,0.18388853749811185,4.908930525843882,4.908930525843882,3.929888537498112,0.0,0.18388853749811185,0.18388853749811185,0.3033277165971052,0.15138262196549235,-0.05602461294819738,0.9051187886480137,25
2021_E01,2021,1,10,NBEATS,N-BEATS,Deep learning,5,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 09:50:00,-10.0,10.0,3.746,6.02416467666626,2.2781646766662598,2.2781646766662598,60.81592836802616,60.81592836802616,5.873619079589844,0.0,2.1276190795898438,2.1276190795898438,0.769367940122548,0.49917522281646726,0.36906481334686275,0.3895864025573472,25
2021_E01,2021,1,10,LSTM,LSTM,Deep learning recurrente,6,2022-03-23 08:00:00,2022-03-23 12:00:00,2022-03-23 10:00:00,2022-03-23 09:50:00,-10.0,10.0,3.746,3.8552859621358646,0.10928596213586461,0.10928596213586461,2.9174042214592797,2.9174042214592797,3.3295227481814007,0.0,-0.4164772518185993,0.4164772518185993,0.34556064366438655,0.2365737222210137,-0.05701736989091586,0.87685846082817,25
2021_E02,2021,2,10,Persistencia,Persistencia,Baseline ingenuo,0,2022-03-22 16:50:00,2022-03-22 20:50:00,2022-03-22 18:50:00,2022-03-22 19:00:00,10.0,10.0,3.705,3.705,0.0,0.0,0.0,0.0,3.602,0.0,-0.1030000000000002,0.1030000000000002,0.4600700816180074,0.26439999999999997,-0.02464,0.8683418958843426,25
2021_E02,2021,2,10,Ridge_ARX_local,Ridge-ARX,ML lineal ARX,1,2022-03-22 16:50:00,2022-03-22 20:50:00,2022-03-22 18:50:00,2022-03-22 18:40:00,-10.0,10.0,3.705,4.181983725039022,0.4769837250390223,0.4769837250390223,12.87405465692368,12.87405465692368,4.062601847888788,0.0,0.35760184788878835,0.35760184788878835,0.2231123326363215,0.15007857145728803,0.060523996666627944,0.9690367338026138,25
2021_E02,2021,2,10,GradientBoosting_ARX,Gradient Boosting-ARX,ML no lineal ARX,2,2022-03-22 16:50:00,2022-03-22 20:50:00,2022-03-22 18:50:00,2022-03-22 18:50:00,0.0,0.0,3.705,2.1219972734283994,-1.5830027265716007,1.5830027265716007,-42.72611947561675,42.72611947561675,2.1219972734283994,0.0,-1.5830027265716007,1.5830027265716007,0.7365131502621957,0.42703665110328987,-0.37249742324043406,0.6625879224955461,25
