modelo,modelo_label,model_family,model_order,lead_minutes,n_eventos,mean_signed_PTE_min,median_signed_PTE_min,mean_abs_PTE_min,median_abs_PTE_min,mean_peak_error,mean_abs_peak_error,mean_rel_peak_error_pct,mean_abs_rel_peak_error_pct,mean_error_at_obs_peak,mean_abs_error_at_obs_peak,mean_RMSE_evento,mean_MAE_evento,mean_Bias_evento,mean_NSE_evento
LSTM,LSTM,Deep learning recurrente,6,30,10,12.0,10.0,14.0,10.0,0.14267255685285668,0.3767176942392627,4.802026568653865,14.630750659279105,-0.24762370183629154,0.7382704211612593,0.3813526553206038,0.23057972270951282,-0.08760987253480887,0.5838940208774369
NBEATS,N-BEATS,Deep learning,5,30,10,5.0,0.0,7.0,5.0,-0.22393719777737697,0.4808591662773846,-4.9965884221658,18.92348049484493,-0.45382393822346767,0.7026815422901868,0.4282937164323462,0.25518615441120346,-0.14038852202077884,0.4038919499601478
Ridge_ARX_local,Ridge-ARX,ML lineal ARX,1,30,10,19.0,20.0,21.0,20.0,0.502247439804636,0.5034200887579028,16.862801810962633,16.96217889593406,-0.2659426031834718,0.7583807845731794,0.4575372513030829,0.3121596383871845,0.031448851745044484,0.4394552071522805
GradientBoosting_ARX,Gradient Boosting-ARX,ML no lineal ARX,2,30,10,16.0,20.0,20.0,20.0,-0.7901546964953532,0.8548035086627387,-26.488953341500956,31.967669271073866,-1.1017491278370917,1.1308680202316366,0.49462728081962093,0.3053222249893193,-0.22927760761284888,0.37509748624993455
SARIMAX_lagged_exog_selected,SARIMAX,Estadistico con exogenas,4,30,10,26.0,30.0,26.0,30.0,0.0011350635888278892,0.11731818291879892,0.141005778571688,5.5276757748514544,-1.2058259714013366,1.2058259714013366,0.5542454804223328,0.3452697609219079,-0.09639715537773444,0.2194346074325216
ARIMA_selected,ARIMA,Estadistico,3,30,10,25.0,30.0,25.0,30.0,0.07193366989620745,0.2628247824960691,5.303170115319459,11.604558446286035,-1.2717031848035254,1.2717031848035254,0.5911439588621914,0.3457550104498269,-0.13394603873802285,0.09836616778373194
Persistencia,Persistencia,Baseline ingenuo,0,30,10,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,-1.3607585969948617,1.3607585969948617,0.6494198901077333,0.4429547128840373,-0.02936694997053399,-0.05566051103935038
