modelo_label,n,MAE_m,RMSE_m,MAE_cm,RMSE_cm,MAPE_pct,sMAPE_pct,NSE,Bias_cm
LSTM,10688,0.01605161691599137,0.0774894133564044,1.6051616915991371,7.74894133564044,5.075716799183037,4.921755151333105,0.9337580323824408,-0.35000222024000394
Ridge-ARX,10688,0.018887011511613625,0.09206086089669732,1.8887011511613625,9.206086089669732,4.62110985753718,4.511245928300871,0.9065028136531474,0.06590034031168236
N-BEATS,10688,0.017606026689600682,0.09389933755914731,1.7606026689600682,9.389933755914731,4.58769394934778,4.4488846441606364,0.9027312052011928,-0.09748016809357804
Gradient Boosting-ARX,10688,0.019653039036052596,0.09768342095217529,1.9653039036052595,9.768342095217529,4.470139743235806,4.531591238873691,0.8947334961863361,-1.1481180703128029
SARIMAX,10688,0.019715838754500996,0.10462137425538855,1.9715838754500996,10.462137425538854,4.4839049359946035,4.721804867588551,0.8792493940500787,-0.8173663599585101
ARIMA,10688,0.02111878073126946,0.1107737395188945,2.1118780731269458,11.07737395188945,4.716271995809652,4.9888604107808865,0.8646300988202462,-1.1682998858491527
Persistencia,10688,0.019103193947952384,0.12158382094095344,1.9103193947952384,12.158382094095344,3.488117387538451,3.617801202690619,0.836920243947923,-0.0026827367966139456
