modelo,segmento,n,MAE,RMSE,R2,MAPE (%),sMAPE (%),Bias,NSE,modelo_label,familia,source,model_order
LSTM,global,32064,0.0115665045083402,0.0612449013978621,0.9586196927722948,3.5559742197308326,3.445326173018829,-0.0008965438196578,0.9586196927722948,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
Ridge_ARX_local,global,32064,0.0129105479284926,0.0694646032995459,0.946766998899797,3.2631655532341144,3.2118583176129407,0.0005265805908599,0.946766998899797,Ridge-ARX,ML lineal ARX,15_finales,1
SARIMAX_lagged_exog_selected,global,32064,0.013406185298016,0.0778363207084461,0.9331627721347876,3.227299026962509,3.368501541034369,-0.0053703611586347,0.9331627721347876,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,global,32064,0.0278400147974733,0.0796195621478131,0.930065189718118,13.915910090986186,15.076322776740536,-0.0021792994600197,0.930065189718118,N-BEATS,Deep learning,15_finales,5
ARIMA_selected,global,32064,0.0139972017796794,0.0827386608158574,0.924478465497268,3.3081736911737853,3.4701453412879344,-0.0072792354523662,0.924478465497268,ARIMA,Estadistico,17_arima_sarimax_baselines,3
GradientBoosting_ARX,global,32064,0.0155872970648361,0.082917493586358,0.9241516455833808,3.535511387829324,3.5759841093115434,-0.0084382944093646,0.9241516455833808,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
Persistencia,global,32064,0.0132884749720852,0.0924455631673935,0.9057186101347604,2.5613504915363903,2.659785159359469,-1.787576106815983e-05,0.9057186101347604,Persistencia,Baseline ingenuo,15_finales,0
